Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
78;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-332;InBetween;32.11;11.10 [9616];11.62 [9608];11.35;
80;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;15.70;5.32 [9608];5.77 [9618];5.55;
81;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;14.80;5.01 [9617];5.49 [9618];5.23;
79;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;13.93;4.62 [9618];5.11 [9616];4.92;
159;binary;Neighbor::build(Atom&);neighbor.cpp:168-179;Innermost;9.17;3.19 [9608];3.29 [9618];3.24;
14;binary;Integrate::initialIntegrate();integrate.cpp:50-55;Single;2.26;0.72 [9616];0.90 [9618];0.80;
15;binary;Integrate::finalIntegrate();integrate.cpp:63-65;Single;1.20;0.35 [9618];0.48 [9616];0.42;
42;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-338;InBetween;1.11;0.26 [9616];0.77 [9608];0.39;
82;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.82;0.23 [9608];0.33 [9616];0.29;
157;binary;Neighbor::build(Atom&);neighbor.cpp:144-179;InBetween;0.74;0.21 [9618];0.29 [9608];0.26;
75;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.70;0.08 [9608];0.42 [9616];0.25;
74;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:344-344;Innermost;0.66;0.14 [9616];0.29 [9608];0.23;
76;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.63;0.15 [9618];0.27 [9616];0.22;
43;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;0.50;0.12 [9618];0.27 [9608];0.18;
44;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;0.50;0.11 [9616];0.33 [9608];0.18;
45;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;0.49;0.05 [9617];0.44 [9608];0.17;
77;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.44;0.11 [9618];0.21 [9617];0.15;
158;binary;Neighbor::build(Atom&);neighbor.cpp:150-165;Innermost;0.21;0.05 [9618];0.11 [9616];0.07;
209;binary;Comm::borders(Atom&);comm.cpp:824-830;Innermost;0.19;0.02 [9618];0.09 [9608];0.07;
154;binary;Neighbor::binatoms(Atom&, int);neighbor.cpp:239-299;Innermost;0.18;0.02 [9617];0.09 [9608];0.06;
25;binary;Atom::unpack_reverse(int, int*, double*);atom.cpp:191-193;Single;0.18;0.05 [9618];0.08 [9608];0.07;
24;binary;Atom::pack_reverse(int, int, double*);atom.cpp:178-180;Single;0.17;0.03 [9617];0.11 [9618];0.06;
27;binary;Atom::sort(Neighbor&);atom.cpp:394-403;Innermost;0.16;0.05 [9618];0.08 [9617];0.06;
21;binary;Atom::pack_comm(int, int*, double*, int*);atom.cpp:153-155;Single;0.14;0.03 [9618];0.09 [9616];0.05;
23;binary;Atom::unpack_comm(int, int, double*);atom.cpp:166-168;Single;0.11;0.02 [9617];0.05 [9608];0.04;
156;binary;Neighbor::build(Atom&);neighbor.cpp:128-299;InBetween;0.10;0.03 [9616];0.06 [9617];0.04;
263;binary;create_atoms(Atom&, int, int, int, double);setup.cpp:349-515;Single;0.08;0.12 [9608];0.12 [9608];0.03;
20;binary;Atom::pbc();atom.cpp:110-120;Single;0.07;0.02 [9617];0.05 [9608];0.03;
46;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.03;0.02 [9617];0.02 [9616];0.01;
39;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.03;0.02 [9617];0.02 [9608];0.01;
41;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.01;0.02 [9608];0.02 [9608];0.01;
26;binary;Atom::sort(Neighbor&);atom.cpp:392-403;Outermost;0.01;0.02 [9616];0.02 [9616];0.01;
40;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.01;0.02 [9616];0.02 [9616];0.01;
166;binary;Thermo::temperature(Atom&);thermo.cpp:153-156;Single;0.01;0.02 [9618];0.02 [9618];0.01;
